product_name;url;product_type;total_weight_g;purity_per_mille;fine_gold_g;price_bgn;price_eur;price_per_g_fine_bgn;price_per_g_fine_eur;buy_price_bgn;sell_price_bgn;spread_percentage;tavex_buy_price_bgn;tavex_sell_price_bgn;tavex_spread_percentage;is_cheaper;tavex_product_name
7.78 гр. ( 1/4 toz. ) Златна Монета Австралийски Лунар Дракон 2024;https://igold.bg/zlatna-moneta-1-4-oz-lunar-drakon-2024;coin;7.78;999.9;7.78;2150.0;1099.28;276.35;141.3;1886.0;2150.0;12.28;;;;;
6.45 гр. Златна Монета 20 Белгийски Франка Леополд I 1864- 1866;https://igold.bg/20-zlatni-franka-leopold-i;coin;6.45;900.0;5.81;1607.0;821.65;276.59;141.42;1382.0;1607.0;14.0;;;;;
1 гр. Златно Кюлче Valcambi Швейцария;https://igold.bg/zlatno-kyulche-1-g-valcambi;bar;1.0;999.9;1.0;278.0;142.14;278.0;142.14;249.0;278.0;10.43;;;;;
1 гр. Златно Кюлче Pamp Fortuna Швейцария;https://igold.bg/zlatno-kyulche-pamp-fortuna-1-g;bar;1.0;999.9;1.0;278.0;142.14;278.0;142.14;245.0;278.0;11.87;;;;;
8.96 гр. 20 Датски Крони Кристиян IX 1863- 1906;https://igold.bg/20-zlatni-kroni-kristian-9;bar;8.96;900.0;8.06;2241.0;1145.81;278.04;142.16;2025.0;2241.0;9.64;;;;;
16.71 гр. Златна Монета 10 Американски Долара Indian Head 1908- 1933;https://igold.bg/10-zlatni-dolara-indian-head;coin;16.71;900.0;15.04;4182.0;2138.22;278.06;142.17;3612.0;4182.0;13.63;;;;;
8.06 гр. Златна Монета 25 Песети Испания Алфонсо XII 1876- 1881;https://igold.bg/25-zlatni-peseti-alfonso-xii;coin;8.06;900.0;7.25;2016.0;1030.76;278.07;142.17;1741.0;2016.0;13.64;;;;;
16.66 гр. Златна Монета 20 Мексикански Песо Ацтеки 1917- 1959;https://igold.bg/zlatna-moneta-20-peso-1917-1959;coin;16.66;900.0;15.0;4171.0;2132.6;278.07;142.17;3469.0;4171.0;16.83;;;;;
32.26 гр. Златна Монета 100 Франка Монако Принц Чарлз III 1882-1884- 1886;https://igold.bg/100-zlatni-franka-monako-prinz-charlz-iii;coin;32.258;900.0;29.03;8138.0;4160.89;280.33;143.33;7359.0;8138.0;9.57;;;;;
3.22 гр. Златна Монета 10 Френски Франка Наполеон III 1854- 1860;https://igold.bg/10-zlatni-franka-napoleon;coin;3.225;900.0;2.9;813.0;415.68;280.34;143.34;735.0;813.0;9.59;;;;;
6.45 гр. Златна Монета 8 Флорина/20 Франка Франц Йосиф I Австрия 1870- 1891;https://igold.bg/20-zlatni-franka-8-florina-franz-iosif;coin;6.45;900.0;5.81;1629.0;832.89;280.38;143.35;1434.0;1629.0;11.97;;;;;
5 гр. Златно Късметлийско Кюлче Жълт Дракон Pamp Швейцария 2025;https://igold.bg/zlatno-kyulche-5-g-pamp-jalt-drakon-2025;bar;5.0;999.9;5.0;1402.0;716.83;280.4;143.37;1334.0;1402.0;4.85;;;;;
31.1 гр. (1 toz.) Златна Монета Кралски Зверове Черния Бик от Кларънс 2018;https://igold.bg/zlatna-moneta-1-oz-cherniyat-bik-ot-klarans-2018;coin;31.1;999.9;31.1;8787.0;4492.72;282.54;144.46;7538.0;8787.0;14.21;;;;;
7.78 гр. ( 1/4 toz. ) Златна Монета Коронационен Чарлз III 2023;https://igold.bg/zlatna-moneta-1-4-oz-koronatzionen-charlz-iii;coin;7.78;999.9;7.78;2202.0;1125.86;283.03;144.71;2024.0;2202.0;8.08;;;;;
3.11 гр. ( 1/10 toz. ) Златна Монета Австралийски Лунар Кон 2026;https://igold.bg/zlatna-moneta-1-10-oz-lunar-kon-2026;coin;3.11;999.9;3.11;882.0;450.96;283.6;145.0;795.0;882.0;9.86;;;;;
1.24 гр. ( 1/25 toz. ) Златна Монета Виенска Филхармония Австрия;https://igold.bg/zlatna-moneta-filharmonia-1-25-oz;coin;1.24;999.9;1.24;353.0;180.49;284.68;145.56;331.0;353.0;6.23;;;;;
31.1 гр. ( 1 toz. ) Златна Монета Кралски Зверове Шотландски Еднорог 2018;https://igold.bg/zlatna-moneta-1-oz-shotlandski-ednorog-2018;coin;31.1;999.9;31.1;8856.0;4528.0;284.76;145.59;7607.0;8856.0;14.1;;;;;
3.11 гр. ( 1/10 toz. ) Златна Монета Австралийски Лунар Дракон 2024;https://igold.bg/zlatna-moneta-1-10-lunar-drakon-2024;coin;3.11;999.9;3.11;890.0;455.05;286.17;146.32;830.0;890.0;6.74;;;;;
3.11 гр. ( 1/10 toz. ) Златна Монета Австралийски Лунар Змия 2025;https://igold.bg/zlatna-moneta-1-10-lunar-zmiya-2025;coin;3.11;999.9;3.11;899.0;459.65;289.07;147.8;795.0;899.0;11.57;;;;;
5 гр. Златно Кюлче Pamp Швейцария Лунар Бяла Змия 2025;https://igold.bg/zlatno-kyulche-5-g-pamp-byala-zmiya-2025;bar;5.0;999.9;5.0;1446.0;739.33;289.2;147.87;1368.0;1446.0;5.39;;;;;
3.11 гр. ( 1/10 toz. ) Златна Монета Австралийска Коала 2024;https://igold.bg/zlatna-moneta-3-11-g-koala-2024;coin;3.11;999.9;3.11;906.0;463.23;291.32;148.95;775.0;906.0;14.46;;;;;
6.45 гр. Златна Монета 20 Франка Албърт I Белгия 1914;https://igold.bg/20-zlatni-franka-albert-i-1914;coin;6.45;900.0;5.81;1706.0;872.26;293.63;150.13;1382.0;1706.0;18.99;;;;;
6.45 гр. Златна Монета 20 Френски Франка Шарл X 1824- 1830;https://igold.bg/20-zlatni-franka-sharl-x;coin;6.45;900.0;5.81;1706.0;872.26;293.63;150.13;1486.0;1706.0;12.9;;;;;
32.26 гр. Златна Монета 100 Франка Монако Принц Албърт I 1891- 1904;https://igold.bg/100-zlatni-franka-albert-i-monako;coin;32.258;900.0;29.03;8590.0;4392.0;295.9;151.29;7488.0;8590.0;12.83;;;;;
6.78 гр. Златна Монета 20 Корони Франц-Йосиф I Австро- Унгария 1892-1915;https://igold.bg/zlatna-moneta-20-koroni-franz-yosif-1892-1915;coin;6.78;900.0;6.1;1818.0;929.53;298.03;152.38;1424.0;1818.0;21.67;;;;;
3.11 гр. ( 1/10 toz. ) Златна Монета Австралийска Кукабура 35 Годишнина 2025;https://igold.bg/zlatna-moneta-3-11-g-kukabura-2025;coin;3.11;999.9;3.11;934.0;477.55;300.32;153.55;775.0;934.0;17.02;;;;;
12.90 гр. Златна Монета 40 Френски Франка Шарл X 1824- 1830;https://igold.bg/40-zlatni-franka-sharl-x;coin;12.9;900.0;11.61;3487.0;1782.87;300.34;153.56;2969.0;3487.0;14.86;;;;;
16.13 гр. Златна Монета 50 Френски Франка Наполеон III 1855- 1860;https://igold.bg/50-zlatni-franka-napoleon-iii-1855-1860;coin;16.129;900.0;14.53;4364.0;2231.28;300.34;153.56;3586.0;4364.0;17.83;;;;;
7.78 гр. ( 1/4 toz. ) Златна Монета 5 Гривни Архангел Михаил Украйна 2023;https://igold.bg/zlatna-moneta-1-4-oz-arhangel-mihail-ukrayna-2023;coin;7.78;999.9;7.78;2337.0;1194.89;300.39;153.58;2076.0;2337.0;11.17;;;;;
5 гр. Златно Кюлче Pamp Швейцария Call of Duty 20 годишнина 2024;https://igold.bg/zlatno-kyulche-pamp-5-g-call-of-duty;bar;5.0;999.9;5.0;1502.0;767.96;300.4;153.59;1412.0;1502.0;5.99;;;;;
5 гр. Златно Кюлче Арабски Сокол Pamp Швейцария;https://igold.bg/zlatno-kyulche-5-g-pamp-arabski-sokol;bar;5.0;999.9;5.0;1513.0;773.58;302.6;154.72;1379.0;1513.0;8.86;;;;;
